year,round,race_name,driver,stop_number,lap,duration
2023,1,Bahrain Grand Prix,gasly,1,9,25.885
2023,1,Bahrain Grand Prix,norris,1,10,32.766
2023,1,Bahrain Grand Prix,tsunoda,1,10,25.267
2023,1,Bahrain Grand Prix,bottas,1,11,25.399
2023,1,Bahrain Grand Prix,albon,1,11,25.054
2023,1,Bahrain Grand Prix,de_vries,1,11,25.018
2023,1,Bahrain Grand Prix,hulkenberg,1,11,26.075
2023,1,Bahrain Grand Prix,hamilton,1,12,24.682
2023,1,Bahrain Grand Prix,ocon,1,12,24.966
2023,1,Bahrain Grand Prix,sargeant,1,12,25.600
2023,1,Bahrain Grand Prix,zhou,1,12,25.787
2023,1,Bahrain Grand Prix,leclerc,1,13,24.345
2023,1,Bahrain Grand Prix,sainz,1,13,24.500
2023,1,Bahrain Grand Prix,russell,1,13,27.062
2023,1,Bahrain Grand Prix,max_verstappen,1,14,24.289
2023,1,Bahrain Grand Prix,alonso,1,14,25.800
2023,1,Bahrain Grand Prix,stroll,1,15,25.449
2023,1,Bahrain Grand Prix,kevin_magnussen,1,15,25.439
2023,1,Bahrain Grand Prix,ocon,2,15,41.462
2023,1,Bahrain Grand Prix,perez,1,17,24.264
2023,1,Bahrain Grand Prix,norris,2,17,33.661
2023,1,Bahrain Grand Prix,gasly,2,25,24.879
2023,1,Bahrain Grand Prix,albon,2,26,24.920
2023,1,Bahrain Grand Prix,tsunoda,2,26,24.372
2023,1,Bahrain Grand Prix,hulkenberg,2,26,37.769
2023,1,Bahrain Grand Prix,de_vries,2,27,25.234
2023,1,Bahrain Grand Prix,norris,3,27,33.467
2023,1,Bahrain Grand Prix,bottas,2,29,25.643
2023,1,Bahrain Grand Prix,kevin_magnussen,2,29,25.344
2023,1,Bahrain Grand Prix,hamilton,2,30,24.690
2023,2,Saudi Arabian Grand Prix,piastri,1,1,31.534
2023,2,Saudi Arabian Grand Prix,norris,1,2,29.444
2023,2,Saudi Arabian Grand Prix,kevin_magnussen,1,8,20.870
2023,2,Saudi Arabian Grand Prix,bottas,1,9,21.505
2023,2,Saudi Arabian Grand Prix,zhou,1,11,21.703
2023,2,Saudi Arabian Grand Prix,hulkenberg,1,11,21.567
2023,2,Saudi Arabian Grand Prix,stroll,1,13,21.150
2023,2,Saudi Arabian Grand Prix,gasly,1,14,20.719
2023,2,Saudi Arabian Grand Prix,sainz,1,15,20.760
2023,2,Saudi Arabian Grand Prix,leclerc,1,16,20.026
2023,2,Saudi Arabian Grand Prix,ocon,1,16,20.762
2023,2,Saudi Arabian Grand Prix,tsunoda,1,17,21.414
2023,2,Saudi Arabian Grand Prix,albon,1,17,21.397
2023,2,Saudi Arabian Grand Prix,de_vries,1,17,21.116
2023,2,Saudi Arabian Grand Prix,bottas,2,17,22.191
2023,2,Saudi Arabian Grand Prix,perez,1,18,20.715
2023,2,Saudi Arabian Grand Prix,alonso,1,18,26.879
2023,2,Saudi Arabian Grand Prix,russell,1,18,20.828
2023,2,Saudi Arabian Grand Prix,max_verstappen,1,18,20.824
2023,2,Saudi Arabian Grand Prix,hamilton,1,18,21.102
2023,2,Saudi Arabian Grand Prix,sargeant,1,18,21.064
2023,2,Saudi Arabian Grand Prix,zhou,2,18,21.282
2023,2,Saudi Arabian Grand Prix,norris,2,19,21.352
2023,2,Saudi Arabian Grand Prix,bottas,3,35,21.808
2023,3,Australian Grand Prix,ocon,1,1,18.056
2023,3,Australian Grand Prix,zhou,1,1,18.951
2023,3,Australian Grand Prix,sargeant,1,1,18.382
2023,3,Australian Grand Prix,perez,1,1,17.657
2023,3,Australian Grand Prix,bottas,1,1,21.659
2023,3,Australian Grand Prix,sargeant,2,2,19.158
2023,3,Australian Grand Prix,perez,2,2,17.814
2023,3,Australian Grand Prix,russell,1,7,19.146
2023,3,Australian Grand Prix,sainz,1,7,18.319
2023,3,Australian Grand Prix,kevin_magnussen,1,7,20.789
2023,3,Australian Grand Prix,hamilton,1,8,15:25.181
2023,3,Australian Grand Prix,max_verstappen,1,8,15:25.112
2023,3,Australian Grand Prix,alonso,1,8,15:26.940
2023,3,Australian Grand Prix,stroll,1,8,15:27.222
2023,3,Australian Grand Prix,gasly,1,8,15:26.996
2023,3,Australian Grand Prix,hulkenberg,1,8,15:26.326
2023,3,Australian Grand Prix,russell,2,8,15:30.824
2023,3,Australian Grand Prix,tsunoda,1,8,15:31.820
2023,3,Australian Grand Prix,norris,1,8,15:34.763
2023,3,Australian Grand Prix,piastri,1,8,15:34.541
2023,3,Australian Grand Prix,sainz,2,8,15:37.024
2023,3,Australian Grand Prix,de_vries,1,8,15:37.874
2023,3,Australian Grand Prix,ocon,2,8,15:37.929
2023,3,Australian Grand Prix,perez,3,8,15:37.512
2023,3,Australian Grand Prix,zhou,2,8,15:37.849
2023,3,Australian Grand Prix,bottas,2,8,15:37.594
2023,3,Australian Grand Prix,sargeant,3,8,15:38.017
2023,3,Australian Grand Prix,kevin_magnussen,2,8,15:40.228
2023,3,Australian Grand Prix,sargeant,4,36,19.018
2023,3,Australian Grand Prix,de_vries,2,45,18.080
2023,4,Azerbaijan Grand Prix,gasly,1,5,20.235
2023,4,Azerbaijan Grand Prix,bottas,1,6,20.967
2023,4,Azerbaijan Grand Prix,albon,1,7,21.103
2023,4,Azerbaijan Grand Prix,tsunoda,1,8,20.497
2023,4,Azerbaijan Grand Prix,piastri,1,8,20.902
2023,4,Azerbaijan Grand Prix,sargeant,1,8,21.015
2023,4,Azerbaijan Grand Prix,hamilton,1,9,20.324
2023,4,Azerbaijan Grand Prix,norris,1,9,20.346
2023,4,Azerbaijan Grand Prix,max_verstappen,1,10,20.707
2023,4,Azerbaijan Grand Prix,kevin_magnussen,1,10,30.951
2023,4,Azerbaijan Grand Prix,perez,1,11,20.389
2023,4,Azerbaijan Grand Prix,leclerc,1,11,21.126
2023,4,Azerbaijan Grand Prix,sainz,1,11,21.970
2023,4,Azerbaijan Grand Prix,alonso,1,11,23.148
2023,4,Azerbaijan Grand Prix,stroll,1,11,23.161
2023,4,Azerbaijan Grand Prix,russell,1,11,20.459
